Gene	SRR2072599	SRR2072600	SRR2072601	SRR2072602	SRR2072603	SRR2072604	SRR2072605	SRR2072606	SRR2072608	SRR2072609
ENSG00000000003	8.605431	3.2113976	2.1131516	5.235984	9.36678	6.5344424	9.971132	4.9258265	11.445088	4.648664
ENSG00000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000000419	429.1408	408.0953	477.32135	327.20712	398.55533	416.2873	487.30936	333.5671	292.67892	361.4436
ENSG00000000457	423.29556	199.41739	371.8666	116.198135	488.29105	141.84766	316.85068	191.90848	152.24707	240.54211
ENSG00000000460	101.44713	37.527924	109.85659	58.860756	161.15103	40.013145	151.14963	44.26456	17.879969	122.6016
ENSG00000000938	445.36096	5075.8467	15161.224	11745.9375	548.66907	4629.9653	14385.405	13294.352	6194.2754	13095.318
ENSG00000000971	0.25225058	6.2295856	0.0	0.0	7.2382894	23.734402	0.0	20.612154	5.9745193	0.0
ENSG00000001036	135.657	524.6119	781.26434	786.27	132.42375	491.71506	645.3655	726.6399	546.41504	592.80566
ENSG00000001084	382.42188	877.3441	796.13214	429.49033	657.1135	953.5325	1002.9461	459.25177	813.35455	453.04892
ENSG00000001167	565.66064	345.8363	204.05602	480.67465	887.5587	266.20544	216.95042	460.166	329.10645	277.1538
ENSG00000001460	48.40257	58.246376	23.026276	13.337514	48.830242	25.288336	30.353825	12.043093	23.404545	17.182907
ENSG00000001461	377.75946	311.6169	118.44997	156.85204	496.89618	327.643	154.02432	96.061676	376.03857	162.77043
ENSG00000001497	287.43417	394.9926	448.30783	251.0556	357.2819	446.68372	440.57526	213.71439	460.61646	434.26495
ENSG00000001561	138.26314	302.8808	58.681396	31.842833	171.29918	365.2697	318.0833	97.80669	705.98956	206.68892
ENSG00000001617	0.0	3.645998	0.0	2.9329226	10.537476	5.2722406	4.0414267	7.3263235	0.7015046	0.0
ENSG00000001626	4.3756213	0.0	0.16730863	6.6459236	6.882888	4.536453	6.8075128	2.24141	4.516897	5.0427575
ENSG00000001629	552.0462	384.57956	655.47974	464.2659	747.39417	603.96796	511.80664	355.5961	661.4574	458.53476
ENSG00000001630	135.28893	444.8332	297.3485	209.22935	185.35081	545.5374	270.61993	141.29747	581.9955	155.79352
ENSG00000001631	332.98688	293.2054	248.30728	240.57169	377.3978	465.88962	241.51842	253.67337	324.95978	240.07788
ENSG00000002016	39.766502	34.818542	32.061474	34.075603	30.003199	69.08129	22.377722	55.26871	42.612453	37.01809
