Gene	SRR3471108	SRR3471109	SRR3471110	SRR3471111	SRR3471112	SRR3471113	SRR3471114	SRR3471115	SRR3471116
ENSMUSG00000000001	19889.832	19485.824	15567.427	16893.197	16797.21	13591.753	23170.262	23610.25	19390.127
ENSMUSG00000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97613746	0.0
ENSMUSG00000000028	966.2573	1009.5181	790.9929	544.20966	695.02734	492.18677	1032.4739	1044.7751	799.026
ENSMUSG00000000031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9522934	0.0
ENSMUSG00000000037	186.04451	196.68948	166.31235	73.05573	78.764824	76.60153	184.04121	153.62642	129.07765
ENSMUSG00000000049	0.0	1.3110851	0.703601	4.8906803	1.3546028	0.0	18.620728	1.5160427	0.0
ENSMUSG00000000056	830.77106	830.22894	617.0494	254.15541	213.14255	181.0396	498.83475	560.62476	446.06476
ENSMUSG00000000058	3131.36	3076.694	2470.1228	2405.5967	2471.538	2052.76	3204.6382	3213.7312	2719.9563
ENSMUSG00000000078	5644.6934	5921.404	4623.102	18341.506	19434.434	15835.149	31488.99	31448.678	26601.824
ENSMUSG00000000085	714.42017	842.8505	781.23505	674.9828	706.3939	593.58746	962.021	1071.5077	788.93634
ENSMUSG00000000088	648.5134	744.3303	543.98773	589.66095	677.79694	571.767	933.2161	978.2964	787.52954
ENSMUSG00000000093	1.0481346	0.0	0.96756005	0.0	0.9975037	2.844183	2.9574785	0.9854591	4.7928195
ENSMUSG00000000094	2.995295	1.9631929	0.9651291	5.9998283	3.8784008	4.974992	5.0453014	10.081507	3.0304883
ENSMUSG00000000103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000000120	4.239824	6.268121	1.9416232	4.255135	9.33301	4.8574333	5.803843	11.808143	2.964567
ENSMUSG00000000125	0.0	0.0	0.0	0.9561408	1.0128286	0.0	0.9848431	1.9571803	0.98189235
ENSMUSG00000000126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9736456
ENSMUSG00000000127	1848.1761	1898.6368	1556.9097	2500.9817	2310.1133	2002.4572	3146.1013	3231.8909	2758.3647
ENSMUSG00000000131	2411.573	2212.1624	1932.0302	2667.1882	2901.298	2314.0876	4883.679	5111.606	4051.626
ENSMUSG00000000134	979.6573	938.72546	719.9247	536.3306	530.8959	466.7855	950.2466	1047.3936	853.2105
ENSMUSG00000000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97358775
ENSMUSG00000000148	210.41373	209.85782	204.43422	144.72972	160.61308	110.54393	217.69771	213.64275	142.48451
